Company,Company Type,Location,Rating
Hindalco Industries,Metals & Mining,Sambalpur +133 other locations,4.2
LG Electronics,Consumer Electronics & Appliances,Pune +301 other locations,3.8
Kogta Financial India Limited,NBFC,Jaipur +260 other locations,4.6
HDFC ERGO General Insurance,Insurance,Mumbai +328 other locations,3.9
DCB Bank,Banking,Mumbai +349 other locations,3.8
Royal Enfield,Automobile,Chennai +375 other locations,4.2
John Deere,Industrial Machinery,Pune +157 other locations,4.0
RBL Bank,Banking,Mumbai +294 other locations,3.5
Publicis Sapient,IT Services & Consulting,Bengaluru +47 other locations,3.2
Tata Communications,Telecom,Pune +102 other locations,3.8
Cummins,Industrial Machinery,Pune +116 other locations,4.3
Alembic Pharmaceuticals,Pharma,Vadodara +189 other locations,3.9
Cloudnine Hospital,Healthcare,Bengaluru +46 other locations,4.5
Bank of America,Banking,Gurugram +34 other locations,4.1
Pidilite Industries,Chemicals,Mumbai +322 other locations,4.2
Grasim Industries,Building Material,Bharuch +263 other locations,4.0
Aditya Birla Sun Life Insurance,Insurance,Mumbai +512 other locations,4.0
Oyo Rooms,Hospitality,Gurugram +121 other locations,3.0
Kyndryl,IT Services & Consulting,Bengaluru +39 other locations,3.9
